Start,End,W
Сокольническая_Бульвар-Рокоссовского,Центральное-Кольцо_Бульвар-Рокоссовского,1
Сокольническая_Бульвар-Рокоссовского,Сокольническая_Черкизовская,10
Сокольническая_Черкизовская,Центральное-Кольцо_Локомотив,1
Сокольническая_Черкизовская,Сокольническая_Преображенская-площадь,10
Сокольническая_Преображенская-площадь,Сокольническая_Сокольники,10
Сокольническая_Сокольники,Сокольническая_Красносельская,10
Сокольническая_Красносельская,Сокольническая_Комсомольская,10
Сокольническая_Комсомольская,Кольцевая_Комсомольская,1
Сокольническая_Комсомольская,МЦД-2_Каланчёвская,1
Сокольническая_Комсомольская,Сокольническая_Красные-ворота,10
Сокольническая_Красные-ворота,Сокольническая_Чистые-пруды,10
Сокольническая_Чистые-пруды,Люблинско-Дмитровская_Сретенский-бульвар,1
Сокольническая_Чистые-пруды,Калужско-Рижская_Тургеневская,1
Сокольническая_Чистые-пруды,Сокольническая_Лубянка,10
Сокольническая_Лубянка,Таганско-Краснопресненская_Кузнецкий-мост,1
Сокольническая_Лубянка,Сокольническая_Охотный-ряд,10
Сокольническая_Охотный-ряд,Арбатско-Покровская_Площадь-Революции,1
Сокольническая_Охотный-ряд,Замоскворецкая_Театральная,1
Сокольническая_Охотный-ряд,Сокольническая_Библиотека-имени-Ленина,10
Сокольническая_Библиотека-имени-Ленина,Серпуховско-Тимирязевская_Боровицкая,1
Сокольническая_Библиотека-имени-Ленина,Филевская_Александровский-сад,1
Сокольническая_Библиотека-имени-Ленина,Арбатско-Покровская_Арбатская,1
Сокольническая_Библиотека-имени-Ленина,Сокольническая_Кропоткинская,10
Сокольническая_Кропоткинская,Сокольническая_Парк-Культуры,10
Сокольническая_Парк-Культуры,Кольцевая_Парк-Культуры,1
Сокольническая_Парк-Культуры,Сокольническая_Фрунзенская,10
Сокольническая_Фрунзенская,Сокольническая_Спортивная,10
Сокольническая_Спортивная,Центральное-Кольцо_Лужники,1
Сокольническая_Спортивная,Сокольническая_Воробьевы-горы,10
Сокольническая_Воробьевы-горы,Сокольническая_Университет,10
Сокольническая_Университет,Сокольническая_Проспект-Вернадского,10
Сокольническая_Проспект-Вернадского,Сокольническая_Юго-Западная,10
Сокольническая_Юго-Западная,Сокольническая_Тропарёво,10
Сокольническая_Тропарёво,Сокольническая_Румянцево,10
Сокольническая_Румянцево,Сокольническая_Саларьево,10
Сокольническая_Саларьево,Сокольническая_Филатов-Луг,10
Сокольническая_Филатов-Луг,Сокольническая_Прокшино,10
Сокольническая_Прокшино,Сокольническая_Ольховая,10
Сокольническая_Ольховая,Сокольническая_Коммунарка,10
Замоскворецкая_Ховрино,Замоскворецкая_Беломорская,10
Замоскворецкая_Беломорская,Замоскворецкая_Речной-вокзал,10
Замоскворецкая_Речной-вокзал,Замоскворецкая_Водный-стадион,10
Замоскворецкая_Водный-стадион,Замоскворецкая_Войковская,10
Замоскворецкая_Войковская,Центральное-Кольцо_Балтийская,1
Замоскворецкая_Войковская,МЦД-2_Стрешнево,1
Замоскворецкая_Войковская,Замоскворецкая_Сокол,10
Замоскворецкая_Сокол,Замоскворецкая_Аэропорт,10
Замоскворецкая_Аэропорт,Замоскворецкая_Динамо,10
Замоскворецкая_Динамо,Большая-Кольцевая-Линия_Петровский-парк,1
Замоскворецкая_Динамо,Замоскворецкая_Белорусская,10
Замоскворецкая_Белорусская,Кольцевая_Белорусская,1
Замоскворецкая_Белорусская,МЦД-1_Белорусская,1
Замоскворецкая_Белорусская,Замоскворецкая_Маяковская,10
Замоскворецкая_Маяковская,Замоскворецкая_Тверская,10
Замоскворецкая_Тверская,Серпуховско-Тимирязевская_Чеховская,1
Замоскворецкая_Тверская,Таганско-Краснопресненская_Пушкинская,1
Замоскворецкая_Тверская,Замоскворецкая_Театральная,10
Замоскворецкая_Театральная,Арбатско-Покровская_Площадь-Революции,1
Замоскворецкая_Театральная,Сокольническая_Охотный-ряд,1
Замоскворецкая_Театральная,Замоскворецкая_Новокузнецкая,10
Замоскворецкая_Новокузнецкая,Калининско-Солнцевская_Третьяковская,1
Замоскворецкая_Новокузнецкая,Калужско-Рижская_Третьяковская,1
Замоскворецкая_Новокузнецкая,Замоскворецкая_Павелецкая,10
Замоскворецкая_Павелецкая,Кольцевая_Павелецкая,1
Замоскворецкая_Павелецкая,Замоскворецкая_Автозаводская,10
Замоскворецкая_Автозаводская,Центральное-Кольцо_Автозаводская,1
Замоскворецкая_Автозаводская,Замоскворецкая_Технопарк,10
Замоскворецкая_Технопарк,Замоскворецкая_Коломенская,10
Замоскворецкая_Коломенская,Замоскворецкая_Каширская,10
Замоскворецкая_Каширская,Каховская_Каширская,1
Замоскворецкая_Каширская,Замоскворецкая_Кантемировская,10
Замоскворецкая_Кантемировская,Замоскворецкая_Царицыно,10
Замоскворецкая_Царицыно,МЦД-2_Царицыно,1
Замоскворецкая_Царицыно,Замоскворецкая_Орехово,10
Замоскворецкая_Орехово,Замоскворецкая_Домодедовская,10
Замоскворецкая_Домодедовская,Замоскворецкая_Красногвардейская,10
Замоскворецкая_Красногвардейская,Люблинско-Дмитровская_Зябликово,1
Замоскворецкая_Красногвардейская,Замоскворецкая_Алма-Атинская,10
Арбатско-Покровская_Пятницкое-шоссе,Арбатско-Покровская_Митино,10
Арбатско-Покровская_Митино,Арбатско-Покровская_Волоколамская,10
Арбатско-Покровская_Волоколамская,МЦД-2_Волоколамская,1
Арбатско-Покровская_Волоколамская,Арбатско-Покровская_Мякинино,10
Арбатско-Покровская_Мякинино,Арбатско-Покровская_Строгино,10
Арбатско-Покровская_Строгино,Арбатско-Покровская_Крылатское,10
Арбатско-Покровская_Крылатское,Арбатско-Покровская_Молодежная,10
Арбатско-Покровская_Молодежная,Арбатско-Покровская_Кунцевская,10
Арбатско-Покровская_Кунцевская,Филевская_Кунцевская,1
Арбатско-Покровская_Кунцевская,МЦД-1_Кунцево,1
Арбатско-Покровская_Кунцевская,Арбатско-Покровская_Славянский-бульвар,10
Арбатско-Покровская_Славянский-бульвар,МЦД-1_Славянский-бульвар,1
Арбатско-Покровская_Славянский-бульвар,Арбатско-Покровская_Парк-Победы,10
Арбатско-Покровская_Парк-Победы,Калининско-Солнцевская_Парк-Победы,1
Арбатско-Покровская_Парк-Победы,Арбатско-Покровская_Киевская,10
Арбатско-Покровская_Киевская,Кольцевая_Киевская,1
Арбатско-Покровская_Киевская,Филевская_Киевская,1
Арбатско-Покровская_Киевская,Арбатско-Покровская_Смоленская,10
Арбатско-Покровская_Смоленская,Арбатско-Покровская_Арбатская,10
Арбатско-Покровская_Арбатская,Серпуховско-Тимирязевская_Боровицкая,1
Арбатско-Покровская_Арбатская,Филевская_Александровский-сад,1
Арбатско-Покровская_Арбатская,Сокольническая_Библиотека-имени-Ленина,1
Арбатско-Покровская_Арбатская,Арбатско-Покровская_Площадь-Революции,10
Арбатско-Покровская_Площадь-Революции,Замоскворецкая_Театральная,1
Арбатско-Покровская_Площадь-Революции,Сокольническая_Охотный-ряд,1
Арбатско-Покровская_Площадь-Революции,Арбатско-Покровская_Курская,10
Арбатско-Покровская_Курская,Люблинско-Дмитровская_Чкаловская,1
Арбатско-Покровская_Курская,Кольцевая_Курская,1
Арбатско-Покровская_Курская,МЦД-2_Курская,1
Арбатско-Покровская_Курская,Арбатско-Покровская_Бауманская,10
Арбатско-Покровская_Бауманская,Арбатско-Покровская_Электрозаводская,10
Арбатско-Покровская_Электрозаводская,Некрасовская_Электрозаводская,1
Арбатско-Покровская_Электрозаводская,Арбатско-Покровская_Семеновская,10
Арбатско-Покровская_Семеновская,Арбатско-Покровская_Партизанская,10
Арбатско-Покровская_Партизанская,Центральное-Кольцо_Измайлово,1
Арбатско-Покровская_Партизанская,Арбатско-Покровская_Измайловская,10
Арбатско-Покровская_Измайловская,Арбатско-Покровская_Первомайская,10
Арбатско-Покровская_Первомайская,Арбатско-Покровская_Щелковская,10
Филевская_Александровский-сад,Серпуховско-Тимирязевская_Боровицкая,1
Филевская_Александровский-сад,Арбатско-Покровская_Арбатская,1
Филевская_Александровский-сад,Сокольническая_Библиотека-имени-Ленина,1
Филевская_Александровский-сад,Филевская_Арбатская,10
Филевская_Арбатская,Филевская_Смоленская,10
Филевская_Смоленская,Филевская_Киевская,10
Филевская_Киевская,Кольцевая_Киевская,1
Филевская_Киевская,Арбатско-Покровская_Киевская,1
Филевская_Киевская,Филевская_Студенческая,10
Филевская_Студенческая,Филевская_Кутузовская,10
Филевская_Кутузовская,Центральное-Кольцо_Кутузовская,1
Филевская_Кутузовская,Филевская_Фили,10
Филевская_Фили,МЦД-1_Фили,1
Филевская_Фили,Филевская_Багратионовская,10
Филевская_Багратионовская,Филевская_Филевский-парк,10
Филевская_Филевский-парк,Филевская_Пионерская,10
Филевская_Пионерская,Филевская_Кунцевская,10
Филевская_Кунцевская,Арбатско-Покровская_Кунцевская,1
Филевская_Кунцевская,МЦД-1_Кунцево,1
Филевская_Кунцевская,Филевская_Выставочная,10
Филевская_Выставочная,Большая-Кольцевая-Линия_Деловой-центр,1
Филевская_Выставочная,Калининско-Солнцевская_Деловой-центр,1
Филевская_Выставочная,МЦД-1_Тестовская,1
Филевская_Выставочная,Филевская_Международная,10
Филевская_Международная,Центральное-Кольцо_Деловой-центр,1
Филевская_Международная,МЦД-1_Тестовская,1
Кольцевая_Киевская,Филевская_Киевская,10
Кольцевая_Киевская,Арбатско-Покровская_Киевская,1
Кольцевая_Киевская,Кольцевая_Парк-Культуры,1
Кольцевая_Парк-Культуры,Сокольническая_Парк-Культуры,10
Кольцевая_Парк-Культуры,Кольцевая_Октябрьская,1
Кольцевая_Октябрьская,Калужско-Рижская_Октябрьская,10
Кольцевая_Октябрьская,Кольцевая_Добрынинская,1
Кольцевая_Добрынинская,Серпуховско-Тимирязевская_Серпуховская,10
Кольцевая_Добрынинская,Кольцевая_Павелецкая,1
Кольцевая_Павелецкая,Замоскворецкая_Павелецкая,10
Кольцевая_Павелецкая,Кольцевая_Таганская,1
Кольцевая_Таганская,Калининско-Солнцевская_Марксистская,10
Кольцевая_Таганская,Таганско-Краснопресненская_Таганская,1
Кольцевая_Таганская,Кольцевая_Курская,1
Кольцевая_Курская,Люблинско-Дмитровская_Чкаловская,10
Кольцевая_Курская,Арбатско-Покровская_Курская,1
Кольцевая_Курская,МЦД-2_Курская,1
Кольцевая_Курская,Кольцевая_Комсомольская,1
Кольцевая_Комсомольская,Сокольническая_Комсомольская,10
Кольцевая_Комсомольская,МЦД-2_Каланчёвская,1
Кольцевая_Комсомольская,Кольцевая_Проспект-Мира,1
Кольцевая_Проспект-Мира,Калужско-Рижская_Проспект-Мира,10
Кольцевая_Проспект-Мира,Кольцевая_Новослободская,1
Кольцевая_Новослободская,Серпуховско-Тимирязевская_Менделеевская,10
Кольцевая_Новослободская,Кольцевая_Белорусская,1
Кольцевая_Белорусская,Замоскворецкая_Белорусская,10
Кольцевая_Белорусская,МЦД-1_Белорусская,1
Кольцевая_Белорусская,Кольцевая_Краснопресненская,1
Кольцевая_Краснопресненская,Таганско-Краснопресненская_Баррикадная,10
Кольцевая_Киевская,Кольцевая_Краснопресненская,1
Калужско-Рижская_Новоясеневская,Бутовская_Битцевский-парк,1
Калужско-Рижская_Новоясеневская,Калужско-Рижская_Ясенево,10
Калужско-Рижская_Ясенево,Калужско-Рижская_Теплый-стан,10
Калужско-Рижская_Теплый-стан,Калужско-Рижская_Коньково,10
Калужско-Рижская_Коньково,Калужско-Рижская_Беляево,10
Калужско-Рижская_Беляево,Калужско-Рижская_Калужская,10
Калужско-Рижская_Калужская,Калужско-Рижская_Новые-Черёмушки,10
Калужско-Рижская_Новые-Черёмушки,Калужско-Рижская_Профсоюзная,10
Калужско-Рижская_Профсоюзная,Калужско-Рижская_Академическая,10
Калужско-Рижская_Академическая,Калужско-Рижская_Ленинский-проспект,10
Калужско-Рижская_Ленинский-проспект,Центральное-Кольцо_Площадь-Гагарина,1
Калужско-Рижская_Ленинский-проспект,Калужско-Рижская_Шаболовская,10
Калужско-Рижская_Шаболовская,Калужско-Рижская_Октябрьская,10
Калужско-Рижская_Октябрьская,Кольцевая_Октябрьская,1
Калужско-Рижская_Октябрьская,Калужско-Рижская_Третьяковская,10
Калужско-Рижская_Третьяковская,Калининско-Солнцевская_Третьяковская,1
Калужско-Рижская_Третьяковская,Замоскворецкая_Новокузнецкая,1
Калужско-Рижская_Третьяковская,Калужско-Рижская_Китай-город,10
Калужско-Рижская_Китай-город,Таганско-Краснопресненская_Китай-город,1
Калужско-Рижская_Китай-город,Калужско-Рижская_Тургеневская,10
Калужско-Рижская_Тургеневская,Люблинско-Дмитровская_Сретенский-бульвар,1
Калужско-Рижская_Тургеневская,Сокольническая_Чистые-пруды,1
Калужско-Рижская_Тургеневская,Калужско-Рижская_Сухаревская,10
Калужско-Рижская_Сухаревская,Калужско-Рижская_Проспект-Мира,10
Калужско-Рижская_Проспект-Мира,Кольцевая_Проспект-Мира,1
Калужско-Рижская_Проспект-Мира,Калужско-Рижская_Рижская,10
Калужско-Рижская_Рижская,Калужско-Рижская_Алексеевская,10
Калужско-Рижская_Алексеевская,Калужско-Рижская_ВДНХ,10
Калужско-Рижская_ВДНХ,Калужско-Рижская_Ботанический-сад,10
Калужско-Рижская_Ботанический-сад,Центральное-Кольцо_Ботанический-Сад,1
